"key","ctf","nctf","data","category","ncat0","ncat1","challenge","description","nc","wsite","writeup","attachment","level","tag1","tag2","tag3","tag4","tag5"
"1","Lexington Informatics Tournament CTF 2024","1","2024-08-10","crypto","1","0","pope shuffle","d.txt","","[]","[]","[]","","","","","",""
"2","Lexington Informatics Tournament CTF 2024","1","2024-08-10","crypto","1","0","privatekey","d.txt","","[]","[]","['chal.txt']","","","","","",""
"3","Lexington Informatics Tournament CTF 2024","1","2024-08-10","crypto","1","0","simple otp","d.txt","","[]","[]","['main.py']","","","","","",""
"4","Lexington Informatics Tournament CTF 2024","1","2024-08-10","crypto","1","0","Symmetric RSA","d.txt","","[]","[]","['chal.py']","","","","","",""
"5","Lexington Informatics Tournament CTF 2024","1","2024-08-10","crypto","1","0","Truly Symmetric RSA","d.txt","","[]","[]","['chal.py', 'output.txt']","","","","","",""
"6","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","a little bit of tomcroppery","d.txt","","[]","[]","['image.png']","","","","","",""
"7","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","endless","d.txt","","[]","[]","['mystery-flag.mp3']","","","","","",""
"8","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","geoguessr1","d.txt","","[]","[]","['IMG_6375.jpg']","","","","","","rsa"
"9","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","geoguessr2","d.txt","","[]","[]","['IMG_7952.jpg']","","","","","",""
"10","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","Kuwahara","d.txt","","[]","[]","['kuwahara.zip']","","","","","Rsa",""
"11","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","pokemon","d.txt","","[]","[]","['pokemon.zip']","","","","","",""
"12","Lexington Informatics Tournament CTF 2024","1","2024-08-10","misc","2","0","welcome","d.txt","","[]","[]","[]","","","","","",""
"13","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","Function Pairing","d.txt","nc.txt","[]","[]","['vuln']","","","","","","RSAras"
"14","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","How to Raise a Boring Vuln","d.txt","nc.txt","[]","[]","['boring', 'libc.so.6']","","","","","",""
"15","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","How to Raise a Boring Vuln Flat","d.txt","nc.txt","[]","[]","['bflat', 'libc.so.6']","","","","","",""
"16","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","iloveseccomp","d.txt","nc.txt","[]","[]","['ld-2.31.so', 'libc-2.31.so', 'main', 'wrapper.py']","","","","","",""
"17","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","Infinite Echo","d.txt","nc.txt","[]","[]","['ld-2.31.so', 'libc-2.31.so', 'main', 'main.c']","","","","","",""
"18","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","LIT Arcade","d.txt","nc.txt","[]","[]","['ld-2.31.so', 'libc-2.31.so', 'libpthread-2.31.so', 'main', 'main.c']","","","","","",""
"19","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","recurse","d.txt","","[]","[]","['main.c']","","","","","",""
"20","Lexington Informatics Tournament CTF 2024","1","2024-08-10","pwn","3","0","w4dup 2de","d.txt","nc.txt","[]","[]","['ld-2.31.so', 'libc-2.31.so', 'main']","","","","","",""
"21","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","Burger Reviewer","d.txt","","[]","[]","['Burgers.java']","","","","","",""
"22","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","forgotten message","d.txt","","[]","[]","['forgotten-message']","","","","","",""
"23","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","hilbert","d.txt","nc.txt","[]","[]","['chall.py', 'hi.h']","","","","","",""
"24","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","kablewy","d.txt","","['wsite']","[]","[]","","","","","",""
"25","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","revsite1","d.txt","","['wsite']","[]","[]","","","","","",""
"26","Lexington Informatics Tournament CTF 2024","1","2024-08-10","rev","4","0","revsite2","d.txt","","['wsite']","[]","[]","","","","","",""
"27","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","anti-inspect","d.txt","","['wsite']","[]","[]","","","","","",""
"28","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","jwt-1","d.txt","","['wsite']","[]","[]","","","","","",""
"29","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","jwt-2","d.txt","","['wsite']","[]","['index.ts']","","","","","",""
"30","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","kirbytime","d.txt","","['wsite']","[]","['kirbytime.zip']","","","","","",""
"31","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","scrainbow","d.txt","","['wsite']","[]","[]","","","","","",""
"32","Lexington Informatics Tournament CTF 2024","1","2024-08-10","web","5","0","traversed","d.txt","","['wsite']","[]","[]","","","","","",""
