"key","ctf","nctf","data","category","ncat0","ncat1","challenge","description","nc","wsite","writeup","attachment","level","tag1","tag2","tag3","tag4","tag5"
"1","TJCTF 2024","1","2026-05-21","web","5","0","Vibed Intranet Part 1","d.txt","","[]","[]","[]","","web","","","",""
"2","TJCTF 2024","1","2026-05-21","web","5","0","Vibed Intranet Part 2","d.txt","","[]","[]","[]","","web","","","",""
"3","TJCTF 2024","1","2026-05-21","forensics","6","0","voice-in-the-packet","d.txt","","[]","[]","[]","","forensics","","","",""
"4","TJCTF 2024","1","2026-05-21","crypto","1","0","bit-leak","d.txt","","[]","[]","[]","","crypto","","","",""
"5","TJCTF 2024","1","2026-05-21","misc","2","0","erm-what-the-tj","d.txt","","[]","[]","[]","","misc","","","",""
"6","TJCTF 2024","1","2026-05-21","forensics","6","0","check-the-fine-print","d.txt","","[]","[]","[]","","forensics","","","",""
"7","TJCTF 2024","1","2026-05-21","web","5","0","chained","d.txt","","[]","[]","['chained.tjc.tf']","","web","attach","","",""
"8","TJCTF 2024","1","2026-05-21","rev","4","0","polaroid","d.txt","","[]","[]","[]","","rev","","","",""
"9","TJCTF 2024","1","2026-05-21","forensics","6","0","thomas-schools-of-china","d.txt","","[]","[]","[]","","forensics","","","",""
"10","TJCTF 2024","1","2026-05-21","misc","2","0","dancing-bird","d.txt","","[]","[]","[]","","misc","","","",""
"11","TJCTF 2024","1","2026-05-21","web","5","0","cardpay-portal","d.txt","","[]","[]","[]","","web","","","",""
"12","TJCTF 2024","1","2026-05-21","web","5","0","vibecoded","d.txt","","[]","[]","[]","","web","","","",""
"13","TJCTF 2024","1","2026-05-21","forensics","6","0","skeleton","d.txt","","[]","[]","[]","","forensics","","","",""
"14","TJCTF 2024","1","2026-05-21","misc","2","0","discord","d.txt","","[]","[]","[]","","misc","","","",""
"15","TJCTF 2024","1","2026-05-21","web","5","0","opening-night","d.txt","","[]","[]","[]","","web","","","",""
"16","TJCTF 2024","1","2026-05-21","rev","4","0","remoose","d.txt","","[]","[]","[]","","rev","","","",""
"17","TJCTF 2024","1","2026-05-21","rev","4","0","rotated","d.txt","","[]","[]","[]","","rev","","","",""
"18","TJCTF 2024","1","2026-05-21","misc","2","0","delta-doodle","d.txt","","[]","[]","[]","","misc","","","",""
"19","TJCTF 2024","1","2026-05-21","crypto","1","0","squares","d.txt","","[]","[]","[]","","crypto","","","",""
"20","TJCTF 2024","1","2026-05-21","crypto","1","0","minervas-stopwatch","d.txt","","[]","[]","[]","","crypto","","","",""
"21","TJCTF 2024","1","2026-05-21","crypto","1","0","TAUtology","d.txt","","[]","[]","[]","","crypto","","","",""
"22","TJCTF 2024","1","2026-05-21","crypto","1","0","stained-glass","d.txt","","[]","[]","[]","","crypto","","","",""
"23","TJCTF 2024","1","2026-05-21","forensics","6","0","obscure-crusher-2","d.txt","","[]","[]","[]","","forensics","","","",""
"24","TJCTF 2024","1","2026-05-21","crypto","1","0","celestial-vault","d.txt","","[]","[]","[]","","crypto","","","",""
"25","TJCTF 2024","1","2026-05-21","crypto","1","0","crashout","d.txt","","[]","[]","[]","","crypto","","","",""
"26","TJCTF 2024","1","2026-05-21","misc","2","0","calculative-barracuda","d.txt","","[]","[]","[]","","misc","","","",""
"27","TJCTF 2024","1","2026-05-21","misc","2","0","leaky-gradient","d.txt","","[]","[]","[]","","misc","","","",""
"28","TJCTF 2024","1","2026-05-21","forensics","6","0","obscure-crusher-1","d.txt","","[]","[]","[]","","forensics","","","",""
"29","TJCTF 2024","1","2026-05-21","web","5","0","treasure-hunt","d.txt","","[]","[]","['treasure-hunt.tjc.tf']","","web","","","",""
"30","TJCTF 2024","1","2026-05-21","forensics","6","0","invisible-ink","d.txt","","[]","[]","[]","","forensics","","","",""
"31","TJCTF 2024","1","2026-05-21","forensics","6","0","loud-packets","d.txt","","[]","[]","[]","","forensics","","","",""
"32","TJCTF 2024","1","2026-05-21","forensics","6","0","nesting","d.txt","","[]","[]","['nesting.mp4']","","forensics","","","",""
"33","TJCTF 2024","1","2026-05-21","forensics","6","0","triplets","d.txt","","[]","[]","[]","","forensics","","","",""
"34","TJCTF 2024","1","2026-05-21","pwn","3","0","Greetings","d.txt","","[]","[]","[]","","pwn","","","",""
"35","TJCTF 2024","1","2026-05-21","misc","2","0","where-the-hell-am-i?","d.txt","","[]","[]","[]","","misc","","","",""
"36","TJCTF 2024","1","2026-05-21","forensics","6","0","unfinished-file","d.txt","","[]","[]","[]","","forensics","","","",""
"37","TJCTF 2024","1","2026-05-21","misc","2","0","mind blowers","d.txt","","[]","[]","[]","","misc","","","",""
"38","TJCTF 2024","1","2026-05-21","crypto","1","0","wavy","d.txt","","[]","[]","[]","","crypto","","","",""
"39","TJCTF 2024","1","2026-05-21","pwn","3","0","hunting-field","d.txt","","[]","[]","[]","","pwn","","","",""
"40","TJCTF 2024","1","2026-05-21","misc","2","0","find-da-code","d.txt","","[]","[]","[]","","misc","","","",""
"41","TJCTF 2024","1","2026-05-21","web","5","0","free-cloud-storage","d.txt","","[]","[]","[]","","web","","","",""
"42","TJCTF 2024","1","2026-05-21","rev","4","0","maze-escape","d.txt","","[]","[]","[]","","rev","","","",""
"43","TJCTF 2024","1","2026-05-21","crypto","1","0","multiplication-as-a-service","d.txt","","[]","[]","[]","","crypto","","","",""
"44","TJCTF 2024","1","2026-05-21","misc","2","0","jumper","d.txt","","[]","[]","['jumper.tjc.tf']","","misc","","","",""
"45","TJCTF 2024","1","2026-05-21","crypto","1","0","trust-issues","d.txt","","[]","[]","['nameserver.tjc.tf', 'trust-issues.tjc.tf']","","crypto","","","",""
"46","TJCTF 2024","1","2026-05-21","misc","2","0","survey","d.txt","","[]","[]","[]","","misc","","","",""
"47","TJCTF 2024","1","2026-05-21","misc","2","0","mind-blasters","d.txt","","[]","[]","[]","","misc","","","",""
"48","TJCTF 2024","1","2026-05-21","web","5","0","paper-trail","d.txt","","[]","[]","[]","","web","","","",""
"49","TJCTF 2024","1","2026-05-21","pwn","3","0","Ox78","d.txt","","[]","[]","[]","","pwn","","","",""
"50","TJCTF 2024","1","2026-05-21","misc","2","0","glitch","d.txt","","[]","[]","[]","","misc","","","",""
"51","TJCTF 2024","1","2026-05-21","misc","2","0","task-32","d.txt","","[]","[]","[]","","misc","","","",""
