"key","ctf","nctf","data","category","ncat0","ncat1","challenge","description","nc","wsite","writeup","attachment","level","tag1","tag2","tag3","tag4","tag5"
"1","Junior.Crypt.2025 CTF","1","2025-07-01","OSINT","9","0","author's autograph","d.txt","","[]","[Writeup Author's autograph.txt]","['Familiar man.jpg']","easy","Person","","","",""
"2","Junior.Crypt.2025 CTF","1","2025-07-01","OSINT","9","0","Center of Europe","d.txt","nc challs.ctf.com 1337","[]","[Writeup center of Europe.txt]","['Center of Europe', 'Center of Europe 1']","easy","Belarus","","","",""
"3","Junior.Crypt.2025 CTF","1","2025-07-01","steganography","15","0","fast test","d.txt","","[]","[Writeup fast test.txt]","['Fast challange']","easy","Text","","","",""
"4","Junior.Crypt.2025 CTF","1","2025-07-01","steganography","15","0","guitar melody","d.txt","","[]","[Writeup guitar melody.txt]","['DEPart.wav']","easy","music","","","",""
"5","Junior.Crypt.2025 CTF","1","2025-07-01","OSINT, steganography","9","15","history of the university","d.txt","","[]","[Writeup history of the university]","['Click to decrypt files']","hard","history","","","",""
"6","Junior.Crypt.2025 CTF","1","2025-07-01","OSINT","9","0","hollywood","d.txt","","[]","[Writeup hollywood.txt]","['place.jpg']","medium","Belarus","","","",""
"7","Junior.Crypt.2025 CTF","1","2025-07-01","OSINT","9","0","name stone","d.txt","","[]","[Writeup name stone]","['rock']","easy","Person","","","",""
"8","Junior.Crypt.2025 CTF","1","2025-07-01","steganography","15","0","uncommon text","d.txt","","[]","['Writeup uncommon text.txt']","['history.docx']","hard","Text","","","",""
"9","b01lers CTF 2024","2","2024-05-10","Misc, pwn","2","3","bash cat with pipe","d.txt","","[]","['b01lers CTF 2024 # misc # bash cat with pipe.docx']","[]","","Cat","","","",""
"10","CPCTF 2024","3","2024-06-07","Crypto, Rev","1","4","RSA Trial","d.txt","","[https://ctftime.org/event/2338/tasks/]","['CPCTF 2024 # Crypto # RSA Trial.docx']","[]","","Trial","","","",""
"11","CTF@CIT 2024","4","2024-07-15","Forensics","6","0","Beep Boop","d.txt","","[]","['CTF@CIT 2024 # Forensics # Beep Boop.docx']","[]","","No","","","",""
"12","WolvCTF 2025","5","2025-03-21","Crypto","1","0","ECB","d.txt","nc ecbpp.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","ECB","","","",""
"13","WolvCTF 2025","1","2025-03-21","Crypto","1","0","KryptosSystem","d.txt","","[]","[]","[ciphertext]","","KryptosSystem","","","",""
"14","WolvCTF 2025","1","2025-03-21","Crypto","1","0","ShiftHappens","d.txt","","[]","[]","[dist]","","No","RSA","","",""
"15","WolvCTF 2025","1","2025-03-21","Osint","9","0","Lost","d.txt","","[]","[]","[lost]","","Search","","","",""
"16","WolvCTF 2025","1","2025-03-21","Osint","9","0","Lost 2","d.txt","","[]","[]","[lost 2]","","Search","","","",""
"17","WolvCTF 2025","1","2025-03-21","Osint","9","0","Wintery","d.txt","","[]","[]","[wintery]","","Search","","","",""
"18","WolvCTF 2025","1","2025-03-21","pwn","3","0","DryWall","d.txt","nc drywall.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","nc","","","",""
"19","WolvCTF 2025","1","2025-03-21","pwn","3","0","LabGrown","d.txt","nc drywall.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","nc","","","",""
"20","WolvCTF 2025","1","2025-03-21","pwn","3","0","TakeNote","d.txt","nc takenote.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","nc","","","",""
"21","WolvCTF 2025","1","2025-03-21","pwn","3","0","VC1K","d.txt","nc vc1k.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","nc","","","",""
"22","WolvCTF 2025","1","2025-03-21","rev","4","0","AngerIssues","d.txt","","[]","[]","[dist]","","No","","","",""
"23","WolvCTF 2025","1","2025-03-21","rev","4","0","CompactSubscription","d.txt","","[]","[]","[dis]","","No","","","",""
"24","WolvCTF 2025","1","2025-03-21","rev","4","0","CrackMeEXE","d.txt","","[]","[]","[chall]","","No","","","",""
"25","WolvCTF 2025","1","2025-03-21","rev","4","0","Irregularity","d.txt","","[]","[]","[challenge]","","No","","","",""
"26","WolvCTF 2025","1","2025-03-21","rev","4","0","LockDown","d.txt","","[]","[]","[synth]","","binary","","","",""
"27","WolvCTF 2025","1","2025-03-21","rev","4","0","Office","d.txt","nc office.kctf-453514-codelab.kctf.cloud 1337","[]","[]","[nc]","","nc","","","",""
"28","WolvCTF 2025","1","2025-03-21","rev","4","0","Vinyl","d.txt","","[]","[]","[dist]","","No","","","",""
"29","WolvCTF 2025","1","2025-03-21","web","5","0","Art Contest","d.txt","","[wsite0]","[]","[dist]","","wsite","","","",""
"30","WolvCTF 2025","1","2025-03-21","web","5","0","Javascript Puzzle","d.txt","","[wsite0]","[]","[dist]","","wsite","","","",""
"31","WolvCTF 2025","1","2025-03-21","web","5","0","Limited 1","d.txt","","[wsite0]","[]","[dist]","","wsite","","","",""
"32","WolvCTF 2025","1","2025-03-21","web","5","0","Limited 2","d.txt","","[wsite0]","[]","[wsite0]","","wsite","","","",""
"33","WolvCTF 2025","1","2025-03-21","web","5","0","Limited 3","d.txt","","[wsite0]","[]","[wsite0]","","wsite","","","",""
